시도별(1),30분 미만,30분~2시간,2~4시간,4~6시간,6~8시간,8~12시간,12~24시간,24시간 이상,
부산광역시,9561,60730,24185,12037,8051,11835,20032,48879,
대구광역시,10624,50274,25088,14018,9492,11865,24346,61263,
인천광역시,19001,127397,35953,18819,12487,16460,27660,69441,
광주광역시,9929,34169,18697,10435,7118,10159,15878,37135,
대전광역시,10990,40862,19105,9838,6549,8593,15424,42010,
울산광역시,5392,20133,7780,3993,2749,3714,9624,17475,
시도별점수,8,7,6,5,4,3,2,1,SUM
부산광역시,76488,425110,145110,60185,32204,35505,40064,48879,863545
대구광역시,84992,351918,150528,70090,37968,35595,48692,61263,841046
인천광역시,152008,891779,215718,94095,49948,49380,55320,69441,1577689
광주광역시,79432,239183,112182,52175,28472,30477,31756,37135,610812
대전광역시,87920,286034,114630,49190,26196,25779,30848,42010,662607
울산광역시,43136,140931,46680,19965,10996,11142,19248,17475,309573
